Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,discount_ratio,weight_per_purchase,rating_x_calls,Product_importance_num,important_discount,log_cost,log_weight,calls_bin,rating_bin
A,Road,3,1,236,3,medium,F,8,5341,1,0.03389830364837696,1335.25,3,2,16,5.4680601411351315,8.583355393669907,Medium,Bad
C,Ship,3,5,264,2,medium,M,33,2021,1,0.12499999526515171,673.6666666666666,15,2,66,5.579729825986222,7.611842399580417,Medium,Good
A,Ship,4,1,157,2,medium,F,5,5647,0,0.03184713172948205,1882.3333333333333,4,2,10,5.062595033026967,8.639056779173078,Medium,Bad
B,Ship,5,5,184,3,medium,M,7,4742,0,0.038043476193289336,1185.5,25,2,14,5.220355825078324,8.464425125877582,High,Good
A,Ship,3,3,159,3,low,M,3,5230,1,0.01886792334164004,1307.5,9,1,3,5.075173815233827,8.562357743370612,Medium,Neutral
F,Road,4,5,159,2,low,F,3,5704,0,0.01886792334164004,1901.3333333333333,20,1,3,5.075173815233827,8.649098262296176,Medium,Good
F,Ship,4,3,257,3,low,M,8,4447,1,0.03112840345803878,1111.75,12,1,8,5.552959584921617,8.400209835930418,Medium,Neutral
B,Ship,3,5,154,10,high,F,10,5282,1,0.06493506071850255,480.1818181818182,15,3,30,5.043425116919247,8.572249397164315,Medium,Good
B,Ship,3,3,149,3,low,M,6,4654,0,0.04026845367325814,1163.5,9,1,6,5.0106352940962555,8.445697189711167,Medium,Neutral
C,Flight,5,4,243,3,medium,M,4,4420,1,0.016460904672390753,1105.0,20,2,8,5.497168225293202,8.394121193826242,High,Neutral
F,Ship,3,1,270,3,medium,F,61,3582,1,0.22592591755829938,895.5,3,2,122,5.602118820879701,8.183955717304954,Medium,Bad
C,Flight,3,3,159,2,medium,F,6,5269,0,0.03773584668328008,1756.3333333333333,9,2,12,5.075173815233827,8.569785641535407,Medium,Neutral
C,Ship,5,5,240,5,medium,M,10,1574,1,0.041666664930555625,262.3333333333333,25,2,20,5.484796933490655,7.362010551259734,High,Good
F,Flight,2,5,125,4,low,M,5,5866,0,0.039999996800000256,1173.2,10,1,5,4.836281906951478,8.67709870892586,Low,Good
B,Ship,4,2,151,3,medium,M,8,4390,1,0.05298012894171331,1097.5,8,2,16,5.0238805208462765,8.387312270561717,Medium,Bad
C,Ship,4,1,177,3,medium,F,5,4382,0,0.028248585974656158,1095.5,4,2,10,5.181783550292085,8.38548870041881,Medium,Bad
B,Flight,5,1,151,2,medium,F,30,1377,1,0.19867548353142492,459.0,5,2,60,5.0238805208462765,7.228388451573604,High,Bad
F,Road,6,5,167,3,low,F,2,5761,1,0.011976047187063042,1440.25,30,1,2,5.123963979403259,8.659039915644474,High,Good
F,Ship,2,3,134,3,low,M,6,4444,1,0.04477611606148388,1111.0,6,1,6,4.90527477843843,8.399535147948004,Low,Neutral
D,Ship,6,2,232,3,medium,F,7,5219,1,0.030172412492568426,1304.75,12,2,14,5.4510384535657,8.560252680876685,High,Bad
D,Ship,3,1,132,2,medium,F,16,1731,1,0.12121211202938545,577.0,3,2,32,4.890349128221754,7.4570320891223805,Medium,Bad
C,Flight,6,2,284,4,low,F,7,1181,1,0.02464788645606034,236.2,12,1,7,5.652489180268651,7.074963197966044,High,Bad
B,Ship,4,2,158,4,low,F,45,1758,1,0.2848101085563222,351.6,8,1,45,5.0689042022202315,7.472500744737558,Medium,Bad
A,Ship,3,5,157,3,low,M,7,5100,0,0.04458598442127488,1275.0,15,1,7,5.062595033026967,8.537191877922927,Medium,Good
A,Flight,6,5,250,4,low,M,8,1689,0,0.03199999872000005,337.8,30,1,8,5.5254529391317835,7.432483807917119,High,Good
B,Ship,3,2,198,5,medium,F,6,5443,0,0.030303028772574302,907.1666666666666,6,2,12,5.293304824724492,8.602269363771356,Medium,Bad
A,Ship,4,1,253,3,medium,F,9,5502,1,0.03557312112359205,1375.5,4,2,18,5.537334267018537,8.613048677059759,Medium,Bad
F,Road,4,3,256,3,low,F,15,3155,1,0.05859374771118173,788.75,12,1,15,5.54907608489522,8.057060681965766,Medium,Neutral
B,Ship,3,1,191,5,medium,M,2,4956,1,0.010471203640251118,826.0,3,2,4,5.2574953720277815,8.508555998020574,Medium,Bad
B,Ship,4,4,162,2,medium,M,8,1386,1,0.0493827130010671,462.0,16,2,16,5.093750200806762,7.234898420314831,Medium,Neutral
B,Road,3,3,252,2,medium,F,48,2102,1,0.19047618291761179,700.6666666666666,9,2,96,5.53338948872752,7.6511201757027,Medium,Neutral
F,Road,3,3,203,2,low,M,25,3607,1,0.12315270329297028,1202.3333333333333,9,1,25,5.318119993844216,8.190908881182514,Medium,Neutral
F,Ship,4,3,213,3,medium,M,4,4367,0,0.018779341841345453,1091.75,12,2,8,5.365976015021851,8.38206051742474,Medium,Neutral
D,Ship,3,2,149,4,medium,F,21,1636,1,0.1409395878564035,327.2,6,2,42,5.0106352940962555,7.400620577371135,Medium,Bad
F,Road,4,1,182,3,medium,M,28,2005,1,0.15384614539306893,501.25,4,2,56,5.209486152841421,7.603897968521881,Medium,Bad
F,Road,5,5,169,4,medium,F,23,1922,1,0.13609466650327418,384.4,25,2,46,5.135798437050262,7.56164174558878,High,Good
D,Ship,5,1,134,3,high,F,12,1775,1,0.08955223212296776,443.75,5,3,36,4.90527477843843,7.4821189235521155,High,Bad
A,Ship,4,3,263,5,low,F,10,1762,0,0.038022812242478624,293.6666666666667,12,1,10,5.575949103146316,7.47477218239787,Medium,Neutral
B,Ship,5,4,228,3,medium,M,42,3145,1,0.18421051823638077,786.25,20,2,84,5.43372200355424,8.053887083618223,High,Neutral
A,Flight,3,5,190,5,high,F,7,4457,0,0.036842103324099824,742.8333333333334,15,3,21,5.25227342804663,8.402455513945814,Medium,Good
F,Ship,5,1,258,5,low,F,4,1032,0,0.015503875368066848,172.0,5,1,4,5.556828061699537,6.940222469119639,High,Bad
B,Ship,4,1,97,2,high,M,15,1836,1,0.15463915931555058,612.0,4,3,45,4.584967478670572,7.515889085215125,Medium,Bad
D,Ship,5,2,180,3,medium,M,1,4655,1,0.005555555246913597,1163.75,10,2,2,5.198497031265826,8.445911989411274,High,Bad
F,Ship,2,4,159,2,low,F,17,1686,1,0.10691823226929356,562.0,8,1,17,5.075173815233827,7.430707082545968,Low,Neutral
F,Road,4,2,167,4,low,F,20,1705,1,0.11976047187063042,341.0,8,1,20,5.123963979403259,7.441906728051625,Medium,Bad
F,Flight,3,3,157,2,medium,F,62,1366,1,0.39490443344557746,455.3333333333333,9,2,124,5.062595033026967,7.220373836723949,Medium,Neutral
