iter	Passed	Remaining
0	4	4204
1	7	3784
2	10	3533
3	14	3564
4	17	3496
5	20	3437
6	23	3402
7	27	3354
8	30	3310
9	33	3290
10	36	3274
11	39	3284
12	43	3272
13	46	3251
14	49	3249
15	52	3236
16	55	3229
17	58	3210
18	61	3188
19	64	3163
20	67	3153
21	70	3129
22	73	3111
23	76	3092
24	78	3074
25	81	3059
26	84	3050
27	87	3037
28	90	3024
29	93	3015
30	96	3010
31	99	3000
32	101	2987
33	104	2973
34	107	2963
35	110	2952
36	113	2945
37	115	2936
38	118	2925
39	121	2914
40	124	2906
41	127	2911
42	130	2913
43	134	2916
44	137	2924
45	141	2926
46	144	2930
47	147	2932
48	151	2940
49	155	2950
50	158	2952
51	161	2950
52	165	2949
53	167	2941
54	170	2935
55	173	2929
56	176	2924
57	179	2918
58	182	2910
59	185	2905
60	188	2898
61	191	2892
62	193	2885
63	196	2879
64	200	2877
65	203	2874
66	206	2868
67	208	2863
68	211	2856
69	214	2851
70	217	2846
71	220	2840
72	223	2837
73	226	2834
74	229	2828
75	232	2824
76	235	2824
77	238	2820
78	241	2816
79	244	2810
80	247	2808
81	250	2806
82	253	2801
83	256	2795
84	259	2790
85	262	2784
86	264	2779
87	267	2774
88	270	2769
89	273	2764
90	276	2760
91	279	2756
92	282	2752
93	285	2752
94	288	2748
95	291	2746
96	294	2741
97	297	2736
98	300	2730
99	302	2725
100	305	2720
101	308	2715
102	311	2710
103	313	2705
104	316	2699
105	319	2695
106	322	2691
107	325	2687
108	328	2681
109	330	2677
110	333	2672
111	336	2668
112	339	2664
113	342	2660
114	344	2654
115	347	2649
116	350	2645
117	353	2641
118	356	2638
119	359	2634
120	361	2629
121	364	2624
122	367	2623
123	370	2620
124	374	2620
125	377	2621
126	381	2619
127	384	2617
128	387	2614
129	390	2612
130	393	2609
131	396	2607
132	399	2604
133	402	2600
134	405	2598
135	408	2596
136	411	2594
137	415	2592
138	418	2589
139	421	2587
140	424	2585
141	427	2582
142	430	2580
143	433	2578
144	436	2574
145	439	2570
146	442	2566
147	445	2562
148	447	2558
149	450	2553
150	453	2549
151	456	2546
152	459	2542
153	461	2537
154	464	2533
155	467	2528
156	470	2525
157	473	2521
158	475	2517
159	478	2512
160	481	2508
161	484	2504
162	487	2501
163	489	2497
164	492	2492
165	495	2489
166	498	2485
167	501	2482
168	503	2478
169	506	2474
170	509	2469
171	512	2465
172	515	2462
173	518	2459
174	520	2454
175	523	2450
176	526	2446
177	528	2442
178	531	2439
179	533	2430
180	536	2426
181	539	2423
182	541	2419
183	544	2413
184	546	2409
185	549	2405
186	552	2401
187	555	2398
188	558	2395
189	561	2393
190	564	2390
191	567	2387
192	570	2384
193	573	2381
194	576	2378
195	578	2375
196	581	2371
197	584	2368
198	586	2361
199	589	2358
200	592	2355
201	595	2352
202	598	2348
203	600	2344
204	603	2341
205	606	2337
206	609	2334
207	612	2330
208	614	2326
209	617	2323
210	620	2318
211	623	2315
212	625	2312
213	628	2309
214	631	2306
215	634	2303
216	637	2300
217	640	2297
218	643	2293
219	645	2289
220	648	2286
221	651	2283
222	654	2279
223	656	2276
224	659	2272
225	662	2268
226	665	2265
227	668	2261
228	670	2258
229	673	2255
230	676	2252
231	679	2248
232	682	2245
233	684	2241
234	687	2238
235	690	2234
236	693	2231
237	695	2228
238	698	2224
239	701	2221
240	704	2218
241	707	2215
242	710	2212
243	713	2209
244	715	2206
245	718	2203
246	721	2199
247	724	2196
248	727	2193
249	729	2189
250	732	2186
251	735	2183
252	738	2180
253	741	2176
254	743	2173
255	746	2170
256	749	2167
257	752	2163
258	755	2160
259	758	2157
260	760	2154
261	763	2151
262	767	2149
263	769	2146
264	772	2143
265	775	2141
266	778	2138
267	781	2135
268	784	2131
269	787	2128
270	790	2126
271	793	2123
272	796	2120
273	799	2117
274	801	2114
275	804	2111
276	808	2109
277	811	2107
278	814	2104
279	817	2101
280	820	2098
281	822	2095
282	825	2092
283	828	2088
284	831	2085
285	834	2082
286	836	2079
287	839	2075
288	842	2072
289	845	2069
290	848	2066
291	851	2063
292	853	2060
293	856	2057
294	859	2054
295	862	2051
296	865	2048
297	868	2045
298	871	2042
299	873	2039
300	877	2037
301	880	2034
302	883	2031
303	886	2029
304	889	2026
305	892	2023
306	895	2020
307	898	2017
308	901	2015
309	904	2012
310	906	2009
311	909	2006
312	912	2003
313	915	2000
314	918	1997
315	921	1994
316	924	1991
317	927	1988
318	930	1985
319	933	1982
320	935	1979
321	939	1977
322	942	1974
323	944	1971
324	947	1968
325	950	1966
326	953	1963
327	957	1961
328	960	1958
329	963	1955
330	966	1953
331	969	1950
332	972	1948
333	975	1945
334	978	1942
335	981	1939
336	984	1937
337	987	1934
338	990	1932
339	994	1929
340	996	1926
341	999	1923
342	1002	1920
343	1005	1918
344	1008	1915
345	1011	1912
346	1014	1909
347	1017	1906
348	1020	1903
349	1023	1900
350	1026	1897
351	1029	1894
352	1032	1891
353	1034	1888
354	1037	1885
355	1040	1882
356	1043	1879
357	1046	1876
358	1049	1873
359	1052	1870
360	1054	1867
361	1057	1864
362	1060	1861
363	1063	1858
364	1066	1855
365	1069	1852
366	1072	1849
367	1074	1846
368	1077	1843
369	1080	1839
370	1083	1837
371	1086	1833
372	1089	1830
373	1092	1828
374	1095	1826
375	1099	1824
376	1102	1822
377	1105	1819
378	1108	1817
379	1112	1814
380	1115	1811
381	1118	1808
382	1121	1806
383	1124	1803
384	1126	1800
385	1129	1797
386	1132	1794
387	1136	1791
388	1139	1789
389	1142	1786
390	1145	1783
391	1148	1780
392	1151	1777
393	1154	1774
394	1156	1771
395	1159	1768
396	1163	1766
397	1166	1763
398	1168	1760
399	1171	1757
400	1174	1754
401	1177	1751
402	1180	1748
403	1182	1745
404	1185	1741
405	1188	1738
406	1191	1735
407	1194	1732
408	1197	1730
409	1200	1726
410	1202	1723
411	1205	1720
412	1208	1717
413	1211	1714
414	1214	1711
415	1216	1708
416	1219	1705
417	1223	1702
418	1226	1700
419	1229	1697
420	1231	1694
421	1234	1691
422	1237	1688
423	1240	1685
424	1243	1681
425	1245	1678
426	1248	1675
427	1251	1672
428	1254	1669
429	1257	1666
430	1260	1663
431	1262	1660
432	1265	1657
433	1268	1654
434	1271	1651
435	1274	1648
436	1276	1644
437	1279	1642
438	1282	1639
439	1285	1636
440	1288	1633
441	1291	1630
442	1294	1627
443	1297	1624
444	1300	1621
445	1303	1618
446	1306	1615
447	1308	1612
448	1311	1609
449	1314	1606
450	1317	1603
451	1320	1600
452	1323	1597
453	1326	1594
454	1329	1592
455	1332	1589
456	1335	1586
457	1338	1583
458	1341	1581
459	1344	1578
460	1347	1575
461	1350	1572
462	1353	1569
463	1355	1566
464	1359	1563
465	1362	1560
466	1364	1557
467	1367	1554
468	1370	1551
469	1373	1549
470	1376	1546
471	1379	1543
472	1382	1540
473	1385	1537
474	1389	1535
475	1392	1532
476	1395	1529
477	1398	1526
478	1401	1524
479	1404	1521
480	1407	1518
481	1410	1515
482	1413	1512
483	1415	1509
484	1418	1506
485	1421	1503
486	1425	1501
487	1428	1498
488	1431	1495
489	1434	1492
490	1437	1489
491	1440	1486
492	1442	1483
493	1446	1481
494	1449	1478
495	1452	1475
496	1454	1472
497	1457	1469
498	1460	1466
499	1463	1463
500	1466	1460
501	1469	1457
502	1472	1454
503	1475	1451
504	1478	1449
505	1481	1446
506	1484	1443
507	1487	1440
508	1490	1437
509	1493	1434
510	1496	1431
511	1498	1428
512	1501	1425
513	1505	1423
514	1508	1420
515	1511	1417
516	1514	1414
517	1516	1411
518	1519	1408
519	1522	1405
520	1525	1402
521	1528	1399
522	1531	1396
523	1533	1393
524	1536	1390
525	1539	1387
526	1542	1384
527	1545	1381
528	1547	1378
529	1550	1374
530	1553	1371
531	1556	1368
532	1558	1365
533	1561	1362
534	1564	1359
535	1566	1356
536	1570	1353
537	1572	1350
538	1575	1347
539	1578	1344
540	1581	1341
541	1584	1338
542	1587	1336
543	1590	1333
544	1593	1330
545	1596	1327
546	1599	1324
547	1601	1321
548	1604	1318
549	1607	1315
550	1610	1312
551	1613	1309
552	1616	1306
553	1619	1303
554	1622	1300
555	1625	1297
556	1628	1294
557	1630	1291
558	1633	1288
559	1636	1285
560	1639	1282
561	1642	1279
562	1645	1276
563	1647	1273
564	1650	1270
565	1653	1267
566	1656	1264
567	1658	1261
568	1661	1258
569	1664	1255
570	1667	1252
571	1669	1249
572	1672	1246
573	1675	1243
574	1678	1240
575	1681	1237
576	1683	1234
577	1686	1231
578	1689	1228
579	1692	1225
580	1695	1222
581	1698	1220
582	1701	1217
583	1704	1214
584	1707	1211
585	1710	1208
586	1713	1205
587	1716	1202
588	1719	1199
589	1722	1197
590	1725	1194
591	1728	1191
592	1731	1188
593	1733	1185
594	1737	1182
595	1740	1179
596	1743	1176
597	1746	1173
598	1748	1170
599	1752	1168
600	1754	1165
601	1757	1162
602	1760	1159
603	1763	1156
604	1766	1153
605	1769	1150
606	1772	1147
607	1775	1144
608	1778	1141
609	1781	1138
610	1784	1136
611	1787	1133
612	1791	1130
613	1794	1128
614	1797	1125
615	1800	1122
616	1803	1119
617	1806	1116
618	1809	1113
619	1812	1110
620	1815	1107
621	1818	1104
622	1821	1102
623	1824	1099
624	1827	1096
625	1830	1093
626	1833	1090
627	1835	1087
628	1838	1084
629	1842	1081
630	1845	1079
631	1848	1076
632	1850	1073
633	1853	1070
634	1856	1067
635	1859	1064
636	1862	1061
637	1865	1058
638	1868	1055
639	1871	1052
640	1874	1049
641	1876	1046
642	1879	1043
643	1882	1040
644	1885	1037
645	1888	1034
646	1890	1031
647	1893	1028
648	1896	1025
649	1899	1022
650	1902	1019
651	1905	1017
652	1908	1013
653	1911	1011
654	1913	1008
655	1916	1005
656	1919	1002
657	1922	999
658	1925	996
659	1928	993
660	1931	990
661	1933	987
662	1936	984
663	1939	981
664	1942	978
665	1945	975
666	1948	972
667	1951	969
668	1954	966
669	1957	963
670	1959	960
671	1962	957
672	1965	955
673	1968	952
674	1971	949
675	1974	946
676	1976	943
677	1979	940
678	1982	937
679	1985	934
680	1988	931
681	1991	928
682	1994	925
683	1996	922
684	1999	919
685	2002	916
686	2005	913
687	2008	910
688	2011	907
689	2013	904
690	2016	901
691	2019	898
692	2022	895
693	2024	892
694	2027	889
695	2030	886
696	2033	884
697	2036	881
698	2039	878
699	2042	875
700	2044	872
701	2047	869
702	2050	866
703	2053	863
704	2056	860
705	2059	857
706	2062	854
707	2065	851
708	2068	848
709	2071	846
710	2074	843
711	2077	840
712	2079	837
713	2082	834
714	2085	831
715	2088	828
716	2091	825
717	2094	822
718	2096	819
719	2099	816
720	2102	813
721	2105	810
722	2107	807
723	2110	804
724	2113	801
725	2116	798
726	2119	795
727	2122	793
728	2125	790
729	2128	787
730	2131	784
731	2134	781
732	2137	778
733	2140	775
734	2142	772
735	2145	769
736	2148	766
737	2151	763
738	2154	760
739	2157	757
740	2160	755
741	2162	752
742	2165	749
743	2168	746
744	2171	743
745	2173	740
746	2176	737
747	2179	734
748	2182	731
